time,vx,vy,vz,wx,wy,wz,ux,uy,uz,uwx,uwy,uwz
0.00,12.00,0.00,0.00,0.000,0.000,0.000,12.00,0.00,0.00,0.000,0.000,0.000
0.10,12.08,0.10,-0.01,0.006,0.002,-0.004,12.00,0.00,0.00,0.000,0.000,0.000
0.20,12.18,0.25,-0.03,0.012,0.004,-0.010,12.00,0.00,0.00,0.000,0.000,0.000
0.30,12.30,0.45,-0.07,0.020,0.006,-0.019,12.00,0.00,0.00,0.000,0.000,0.000
0.40,12.42,0.70,-0.12,0.029,0.009,-0.031,12.00,0.00,0.00,0.000,0.000,0.000
0.50,12.50,0.90,-0.18,0.038,0.012,-0.044,12.00,0.00,0.00,0.000,0.000,0.000
0.60,12.43,0.75,-0.13,0.031,0.010,-0.035,12.00,0.00,0.00,0.000,0.000,0.000
0.70,12.29,0.50,-0.08,0.022,0.007,-0.023,12.00,0.00,0.00,0.000,0.000,0.000
0.80,12.16,0.28,-0.04,0.014,0.004,-0.012,12.00,0.00,0.00,0.000,0.000,0.000
0.90,12.06,0.10,-0.01,0.005,0.001,-0.004,12.00,0.00,0.00,0.000,0.000,0.000
